abstract a
break b
callable c
debugger d
echo e
false f
global g
implements i
let l
namespace n
print p
require r
static s
true t
unset u
var v
while w
xor x
yield y
and an
array ar
async ay
case ca
class cl
continue cn
const co
catch ct
declare de
default df
die di
delete dl
else el
empty em
enddeclare en
eval ev
exit ex
final fi
finally fn
for fo
foreach fr
function fu
goto go
import im
include in
list li
null nu
new nw
private pr
public pu
return rt
super su
script sr
switch sw
throw th
this ts
typeof ty
void vo
with wi
clone clo
elseif els
endfor end
extends ext
include_once inc
instanceof ins
interface int
protected pro
trait tra
try try
use use
endforeach endf
endif endi
endswitch ends
endwhile endw
